freq,P1
0,5.9581e+08
0.0026882,2.3104e+08
0.0053763,9.1381e+07
0.0080645,6.557e+07
0.010753,4.4732e+07
0.013441,4.8968e+07
0.016129,2.8383e+07
0.018817,3.8144e+07
0.021505,1.8698e+07
0.024194,2.3763e+07
0.026882,1.943e+07
0.02957,2.4452e+07
0.032258,1.2595e+07
0.034946,1.7321e+07
0.037634,1.7556e+07
0.040323,2.4952e+07
0.043011,3.3289e+06
0.045699,1.3446e+07
0.048387,1.8222e+07
0.051075,1.9512e+07
0.053763,2.74e+07
0.056452,6.2984e+06
0.05914,1.0163e+07
0.061828,1.1656e+07
0.064516,1.8995e+07
0.067204,8.1299e+06
0.069892,4.7925e+06
0.072581,8.9767e+06
0.075269,2.8643e+06
0.077957,2.026e+07
0.080645,2.5898e+07
0.083333,8.5867e+07
0.086022,4.1245e+07
0.08871,9.412e+06
0.091398,1.1637e+07
0.094086,5.8335e+06
0.096774,2.2198e+07
0.099462,2.2431e+07
0.10215,1.4113e+07
0.10484,1.2969e+07
0.10753,1.0829e+07
0.11022,2.2513e+07
0.1129,1.7702e+07
0.11559,7.2054e+06
0.11828,1.6069e+07
0.12097,1.4614e+07
0.12366,1.7826e+07
0.12634,2.1764e+07
0.12903,2.0903e+07
0.13172,1.608e+07
0.13441,7.6975e+06
0.1371,2.0559e+07
0.13978,3.1726e+07
0.14247,9.1988e+06
0.14516,1.6657e+07
0.14785,1.3599e+07
0.15054,8.1483e+06
0.15323,1.1254e+07
0.15591,1.2009e+07
0.1586,3.4564e+07
0.16129,9.5889e+06
0.16398,6.1454e+06
0.16667,1.9242e+08
0.16935,3.054e+07
0.17204,1.0795e+07
0.17473,1.8906e+06
0.17742,1.437e+07
0.18011,1.2677e+07
0.1828,1.1975e+07
0.18548,4.7623e+06
0.18817,9.1629e+06
0.19086,1.4041e+07
0.19355,1.4457e+07
0.19624,1.2956e+07
0.19892,6.7433e+06
0.20161,1.2089e+07
0.2043,2.0884e+07
0.20699,2.5466e+06
0.20968,5.8388e+06
0.21237,8.8398e+06
0.21505,1.9686e+07
0.21774,1.801e+07
0.22043,8.4741e+06
0.22312,1.7324e+07
0.22581,1.7591e+07
0.22849,2.1459e+07
0.23118,3.1955e+07
0.23387,8.5577e+06
0.23656,2.1464e+07
0.23925,2.3012e+07
0.24194,2.0055e+07
0.24462,3.4263e+07
0.24731,1.7282e+07
0.25,5.9306e+07
0.25269,5.1556e+06
0.25538,8.7024e+06
0.25806,2.8016e+07
0.26075,1.1788e+07
0.26344,5.8441e+06
0.26613,1.712e+07
0.26882,2.333e+07
0.27151,1.8869e+07
0.27419,1.9404e+07
0.27688,1.1896e+07
0.27957,3.5824e+07
0.28226,1.4647e+07
0.28495,1.7926e+07
0.28763,1.4209e+07
0.29032,1.5568e+07
0.29301,3.0853e+06
0.2957,1.9461e+07
0.29839,5.0904e+06
0.30108,1.3194e+07
0.30376,1.9199e+07
0.30645,2.5029e+07
0.30914,5.0314e+06
0.31183,1.6579e+07
0.31452,2.7137e+07
0.3172,3.5069e+07
0.31989,9.9962e+06
0.32258,2.6995e+07
0.32527,3.8975e+07
0.32796,1.3571e+07
0.33065,1.2526e+07
0.33333,1.2105e+08
0.33602,2.5335e+07
0.33871,4.1671e+06
0.3414,1.1034e+07
0.34409,1.6727e+07
0.34677,9.5328e+06
0.34946,1.5077e+07
0.35215,1.7895e+07
0.35484,9.339e+06
0.35753,4.5552e+07
0.36022,1.2123e+07
0.3629,8.7814e+06
0.36559,1.9175e+07
0.36828,2.1809e+06
0.37097,2.5114e+07
0.37366,3.6344e+07
0.37634,1.3792e+07
0.37903,2.258e+07
0.38172,3.2727e+06
0.38441,6.9863e+06
0.3871,1.4918e+07
0.38978,2.5498e+07
0.39247,2.092e+07
0.39516,1.5454e+07
0.39785,1.8555e+07
0.40054,6.1996e+06
0.40323,5.014e+06
0.40591,3.085e+06
0.4086,2.8956e+07
0.41129,2.9734e+07
0.41398,3.4537e+07
0.41667,5.1832e+07
0.41935,1.4105e+07
0.42204,2.4277e+07
0.42473,1.9426e+07
0.42742,1.5475e+07
0.43011,2.1341e+07
0.4328,9.989e+06
0.43548,1.4008e+07
0.43817,1.6696e+07
0.44086,3.4567e+07
0.44355,1.2991e+07
0.44624,2.5912e+07
0.44892,1.5588e+07
0.45161,2.2539e+07
0.4543,1.3511e+07
0.45699,2.1522e+07
0.45968,1.6148e+07
0.46237,1.1061e+07
0.46505,1.8627e+07
0.46774,1.1058e+07
0.47043,1.8298e+07
0.47312,3.8998e+07
0.47581,1.9496e+07
0.47849,2.8171e+07
0.48118,7.6872e+06
0.48387,3.0771e+07
0.48656,1.8389e+07
0.48925,2.388e+07
0.49194,1.5296e+07
0.49462,1.3241e+07
0.49731,3.3017e+07
0.5,1.3651e+07
